Reservoir,Site,DateTime,Depth_m,TFe_mgL,TMn_mgL,SFe_mgL,SMn_mgL,Flag_DateTime,Flag_TFe,Flag_TMn,Flag_SFe,Flag_SMn
FCR,50,2014-08-11 12:00:00,8,5.148,2.083,5.148,1.93763,1,0,0,0,0
FCR,50,2014-08-11 12:00:00,9,13.07,2.914,12.86,2.80126,1,0,0,0,0
BVR,50,2014-08-13 12:00:00,0.1,0.4596,0.03829,0.4257,0.03829,1,0,0,0,0
BVR,50,2014-08-13 12:00:00,4,0.4401,0.03963,0.3451,0.01977,1,0,0,0,0
BVR,50,2014-08-13 12:00:00,8,3.539,2.415,3.539,2.415,1,0,0,0,0
BVR,50,2014-08-13 12:00:00,11,24.08,2.533,23.59,2.502,1,0,0,0,0
FCR,50,2014-08-18 12:00:00,0.1,0.2637,0.01526,0.2475,0.00862,1,0,0,0,0
FCR,50,2014-08-18 12:00:00,0.8,0.2398,0.01336,0.221,0.0046,1,0,0,0,0
FCR,50,2014-08-18 12:00:00,1.6,0.2614,0.012,0.2614,0.00432,1,0,0,0,0
FCR,50,2014-08-18 12:00:00,2.8,0.3553,0.01318,0.3454,0.0044,1,0,0,0,0
FCR,50,2014-08-18 12:00:00,3.8,0.3805,0.03365,0.3805,0.0194,1,0,0,0,0
FCR,50,2014-08-18 12:00:00,5,0.7379,0.7334,0.7264,0.68972,1,0,0,0,0
FCR,50,2014-08-18 12:00:00,6.2,5.168,2.087,5.168,1.93464,1,0,0,0,0
FCR,50,2014-08-18 12:00:00,8,8.845,2.784,8.845,2.60387,1,0,0,0,0
FCR,50,2014-08-18 12:00:00,9,33.51,4.146,33.51,4.0358,1,0,0,0,0
FCR,50,2014-08-25 12:00:00,0.1,0.2654,0.0104,0.2398,0.00558,1,0,0,0,0
FCR,50,2014-08-25 12:00:00,0.8,0.2279,0.01014,0.2279,0.00377,1,0,0,0,0
FCR,50,2014-08-25 12:00:00,1.6,0.2414,0.01052,0.2414,0.0039,1,0,0,0,0
FCR,50,2014-08-25 12:00:00,2.8,0.3004,0.00976,0.2807,0.00334,1,0,0,0,0
FCR,50,2014-08-25 12:00:00,3.8,0.7423,0.6261,0.4878,0.6261,1,0,0,0,0
FCR,50,2014-08-25 12:00:00,5,1.535,1.765,0.8885,1.759,1,0,0,0,0
FCR,50,2014-08-25 12:00:00,6.2,3.381,2.046,2.081,1.929,1,0,0,0,0
FCR,50,2014-08-25 12:00:00,8,4.136,2.211,3.961,2.05415,1,0,0,0,0
FCR,50,2014-08-25 12:00:00,9,4.781,2.525,4.55,2.44382,1,0,0,0,0
FCR,50,2014-09-03 12:00:00,0.1,0.1965,0.0087,0.1512,0.0048,1,0,0,0,0
FCR,50,2014-09-03 12:00:00,0.8,0.181,0.0098,0.161,0.0056,1,0,0,0,0
FCR,50,2014-09-03 12:00:00,1.6,0.2087,0.0113,0.1501,0.0055,1,0,0,0,0
FCR,50,2014-09-03 12:00:00,2.8,0.204,0.0087,0.1334,0.0047,1,0,0,0,0
FCR,50,2014-09-03 12:00:00,3.8,1.094,0.6783,0.4165,0.3934,1,0,0,0,0
FCR,50,2014-09-03 12:00:00,5,2.918,1.242,1.401,1.234,1,0,0,0,0
FCR,50,2014-09-03 12:00:00,6.2,3.537,1.923,2.097,1.923,1,0,0,0,0
FCR,50,2014-09-03 12:00:00,8,3.567,1.994,1.595,1.683,1,0,0,0,0
FCR,50,2014-09-03 12:00:00,9,3.701,2.029,2.348,2.029,1,0,0,0,0
BVR,50,2014-09-04 12:00:00,0.1,0.2981,0.0125,0.2149,0.008,1,0,0,0,0
BVR,50,2014-09-04 12:00:00,4,0.4303,0.0562,0.2636,0.0401,1,0,0,0,0
BVR,50,2014-09-04 12:00:00,8,4.329,3.338,4.155,3.338,1,0,0,0,0
BVR,50,2014-09-04 12:00:00,11,26.7,2.806,26.7,2.792,1,0,0,0,0
FCR,50,2014-09-08 12:00:00,0.1,0.1837,0.0071,0.1837,0.0064,1,0,0,0,0
FCR,50,2014-09-08 12:00:00,0.8,0.1857,0.0077,0.1475,0.0047,1,0,0,0,0
FCR,50,2014-09-08 12:00:00,1.6,0.1592,0.0056,0.1592,0.004,1,0,0,0,0
FCR,50,2014-09-08 12:00:00,2.8,0.2052,0.0083,0.1377,0.0035,1,0,0,0,0
FCR,50,2014-09-08 12:00:00,3.8,0.1597,0.0317,0.1491,0.0317,1,0,0,0,0
FCR,50,2014-09-08 12:00:00,5,0.8944,0.7854,0.512,0.7366,1,0,0,0,0
FCR,50,2014-09-08 12:00:00,6.2,1.634,1.399,1.247,1.399,1,0,0,0,0
